Date,Clicks,Impressions,CTR,Position
2024-11-18,187,108812,0.17%,16.52
2024-11-17,95,101394,0.09%,17.8
2024-11-16,92,107447,0.09%,17.13
2024-11-15,138,102803,0.13%,15.3
2024-11-14,152,105978,0.14%,13.89
2024-11-13,194,108163,0.18%,13.93
2024-11-12,180,102857,0.18%,14.44
2024-11-11,120,102159,0.12%,14.9
2024-11-10,83,104528,0.08%,16.89
2024-11-09,77,100984,0.08%,17.45
2024-11-08,124,99954,0.12%,16.02
2024-11-07,140,100469,0.14%,14.39
2024-11-06,136,101608,0.13%,14.4
2024-11-05,162,101775,0.16%,14.02
2024-11-04,167,103805,0.16%,16.31
2024-11-03,116,110679,0.1%,18.95
2024-11-02,85,105621,0.08%,19.2
2024-11-01,109,105066,0.1%,18.61
2024-10-31,132,101995,0.13%,14.31
2024-10-30,141,104022,0.14%,14.3
2024-10-29,207,108446,0.19%,14.42
2024-10-28,162,108637,0.15%,15.73
2024-10-27,91,110607,0.08%,17.25
2024-10-26,72,110552,0.07%,18.06
2024-10-25,151,105654,0.14%,15.78
2024-10-24,179,104295,0.17%,15.13
2024-10-23,206,98471,0.21%,15.82
2024-10-22,192,103328,0.19%,20.23
2024-10-21,184,110760,0.17%,19.08
2024-10-20,104,136692,0.08%,15.06
2024-10-19,108,122026,0.09%,17.23
2024-10-18,163,121594,0.13%,16.4
2024-10-17,166,118977,0.14%,15.09
2024-10-16,158,135468,0.12%,15.17
2024-10-15,182,136666,0.13%,14.2
2024-10-14,183,140816,0.13%,15.25
2024-10-13,112,133985,0.08%,14.52
2024-10-12,112,132556,0.08%,15.05
2024-10-11,137,132513,0.1%,14.61
2024-10-10,136,130926,0.1%,12.49
2024-10-09,167,129194,0.13%,12.67
2024-10-08,187,128097,0.15%,13.57
2024-10-07,164,133867,0.12%,14.75
2024-10-06,106,128356,0.08%,14.48
2024-10-05,95,114581,0.08%,15.28
2024-10-04,161,130051,0.12%,16.02
2024-10-03,197,130135,0.15%,13.95
2024-10-02,210,129692,0.16%,15.77
2024-10-01,210,135761,0.15%,15.57
2024-09-30,180,125480,0.14%,13.84
2024-09-29,100,119389,0.08%,15.22
2024-09-28,104,130159,0.08%,13.76
2024-09-27,160,117147,0.14%,15.19
2024-09-26,176,113954,0.15%,13.66
2024-09-25,167,128358,0.13%,13.35
2024-09-24,199,112056,0.18%,14.85
2024-09-23,167,66725,0.25%,25.27
2024-09-22,100,32947,0.3%,42.31
2024-09-21,111,44243,0.25%,46.33
2024-09-20,145,36255,0.4%,40.17
2024-09-19,167,72338,0.23%,19.46
2024-09-18,203,180389,0.11%,10.52
2024-09-17,181,155262,0.12%,11.43
2024-09-16,189,92915,0.2%,19.69
2024-09-15,128,39854,0.32%,43.34
2024-09-14,110,36386,0.3%,44.13
2024-09-13,144,36716,0.39%,39.89
2024-09-12,203,36015,0.56%,36.59
2024-09-11,192,134946,0.14%,13.32
2024-09-10,210,77734,0.27%,21.72
2024-09-09,192,38660,0.5%,35.89
2024-09-08,150,39927,0.38%,42.96
2024-09-07,128,37459,0.34%,41.79
2024-09-06,186,36722,0.51%,38.86
2024-09-05,218,37309,0.58%,33.35
2024-09-04,204,56699,0.36%,26.99
2024-09-03,254,86506,0.29%,21.5
2024-09-02,136,80786,0.17%,22.26
2024-09-01,134,76423,0.18%,21.76
2024-08-31,118,77902,0.15%,20.14
2024-08-30,164,76567,0.21%,20.59
2024-08-29,191,76361,0.25%,17.47
2024-08-28,231,75582,0.31%,17.89
2024-08-27,257,76372,0.34%,17.68
2024-08-26,235,80270,0.29%,18.14
2024-08-25,161,81089,0.2%,22.1
2024-08-24,148,80883,0.18%,22.52
2024-08-23,201,82731,0.24%,20.29
2024-08-22,226,82521,0.27%,19.05
2024-08-21,206,89378,0.23%,23.23
2024-08-20,220,77857,0.28%,18.32
2024-08-19,200,80890,0.25%,19.39
2024-08-18,146,78586,0.19%,23.09
2024-08-17,135,76233,0.18%,22.76
2024-08-16,165,80861,0.2%,21.92
2024-08-15,195,83843,0.23%,17.64
2024-08-14,219,78396,0.28%,18.5
2024-08-13,217,78839,0.28%,18.29
2024-08-12,252,83772,0.3%,20.83
2024-08-11,147,79375,0.19%,22.41
2024-08-10,128,79605,0.16%,21.64
2024-08-09,214,80344,0.27%,21.13
2024-08-08,216,84324,0.26%,20.83
2024-08-07,247,81576,0.3%,19.5
2024-08-06,242,88849,0.27%,21.51
2024-08-05,252,85780,0.29%,20.02
2024-08-04,143,90696,0.16%,22.68
2024-08-03,113,86136,0.13%,22.26
2024-08-02,183,88429,0.21%,21.58
2024-08-01,187,85842,0.22%,19.06
2024-07-31,212,88296,0.24%,17.14
2024-07-30,200,88240,0.23%,17
2024-07-29,220,82308,0.27%,18.17
2024-07-28,136,82316,0.17%,20.73
2024-07-27,107,83014,0.13%,21.41
2024-07-26,167,86679,0.19%,19.91
2024-07-25,186,81810,0.23%,16.77
2024-07-24,246,84220,0.29%,18.5
2024-07-23,214,84552,0.25%,17
2024-07-22,193,84217,0.23%,19.88
2024-07-21,134,91289,0.15%,25.74
2024-07-20,100,86629,0.12%,24.68
2024-07-19,185,76108,0.24%,18.57
2024-07-18,193,76899,0.25%,17.92
2024-07-17,196,87808,0.22%,18.74
2024-07-16,202,86758,0.23%,18.02
2024-07-15,209,83475,0.25%,18.87
2024-07-14,138,81163,0.17%,22.03
2024-07-13,89,82624,0.11%,21.97
2024-07-12,189,91406,0.21%,19.42
